probIn scale
0.7896159 0.000160161
0.7778509 0.0001564963
0.7891368 0.0001641888
0.79196 0.0001655973
0.7792488 0.00017015
0.7860034 0.0001709428
0.7402951 0.0001657056
0.7246262 0.0001652384
0.7576416 0.0001559997
0.7353585 0.0001581837
0.7099222 0.0001610892
0.675972 0.0001592117
0.6895886 0.0001674799
0.6427516 0.000166213
0.659112 0.0001597466
0.6344048 0.00016024
0.5951424 0.0001605819
0.5768183 0.0001575584
0.5826305 0.0001623988
0.6209218 0.0001641358
0.6350544 0.000164768
0.6407595 0.0001655727
0.6275012 0.0001606214
0.6352432 0.0001558605
0.6675968 0.0001582439
0.6364416 0.0001647701
0.6326269 0.0001591845
0.6414146 0.0001597323
0.6203666 0.0001646785
0.6200406 0.000157266
0.614415 0.0001622522
0.6007748 0.0001583349
0.5727947 0.000156726
0.5831027 0.0001612758
0.5967483 0.0001617122
0.6451934 0.0001591062
0.6539701 0.000158455
0.6071385 0.0001578223
0.604168 0.0001608154
0.6171094 0.0001636918
0.6191356 0.0001631372
0.5711291 0.0001682804
0.6093064 0.0001727706
0.6202754 0.0001706022
0.614199 0.0001726304
0.5969636 0.0001654683
0.5752399 0.0001750681
0.6105163 0.0001777519
0.5791658 0.0001768292
0.5637904 0.000171898
0.5254112 0.0001784586
0.4968989 0.0001810175
0.4747358 0.0001834219
0.4760083 0.0001835277
0.5049941 0.0001768954
0.5157353 0.0001831389
0.4908483 0.0001813913
0.5207597 0.0001920503
0.5185447 0.0001976904
0.514213 0.0002005532
0.5342912 0.000196441
0.5955351 0.0001998245
0.5780974 0.0002102483
0.5919635 0.0002083111
0.6008178 0.0002112081
0.6061428 0.0002188743
0.601909 0.0002135349
0.6234205 0.0002211745
0.6353492 0.000227819
0.6290616 0.0002258957
0.6483886 0.0002245926
0.6259047 0.0002148745
0.6052607 0.0002157342
0.6389402 0.0002079396
0.6448981 0.0002180289
0.6276812 0.0002262463
0.5846049 0.0002355299
0.6023924 0.0002350462
0.6102167 0.0002396101
0.6183479 0.0002391346
0.6614965 0.0002348273
0.6736887 0.0002375364
0.6589495 0.0002432495
0.6489313 0.0002499523
0.6379396 0.0002461552
0.6298558 0.0002513479
0.6105124 0.0002537853
0.6221038 0.0002552443
0.633793 0.0002525654
0.6175335 0.000250672
0.6195748 0.0002639232
0.5942682 0.0002619554
0.6217888 0.000262314
0.5784297 0.0002633168
0.5972039 0.0002798831
0.5849247 0.0002852384
0.5486852 0.0002821696
0.5476122 0.0002768191
0.5377959 0.0002921294
0.492428 0.0002909708
0.472661 0.0002848503
0.4396156 0.0002965859
0.4427055 0.0003096079
0.420332 0.0003032177
0.4127521 0.0003067749
0.4298995 0.0003179647
0.4290047 0.0003175743
0.3997467 0.00031113
0.4006386 0.0002973196
0.3979854 0.0003078235
0.4142448 0.0003216395
0.3986947 0.0003175412
0.3907334 0.0003205377
0.3805194 0.0003210006
0.3965879 0.0003235777
0.4213201 0.0003262206
0.4270534 0.0003157597
0.4271405 0.0002919418
0.4328272 0.0002893238
0.4131672 0.0002906922
0.4537461 0.0002818728
0.4612016 0.0002809737
0.461751 0.000290714
0.4699652 0.0002764681
0.4533801 0.0002787623
0.4669085 0.0002699476
0.4660618 0.0002650738
0.477216 0.0002757378
0.486991 0.0002707471
0.4900956 0.0002713399
0.5405628 0.0002693578
0.56985 0.0002645389
0.5910486 0.0002644653
0.6129036 0.0002554243
0.5939282 0.0002642493
0.6107173 0.0002449175
0.574015 0.0002303516
0.5826383 0.0002379985
0.5905524 0.0002353003
0.5852556 0.0002261971
0.6138133 0.000218983
0.6441595 0.0002275195
0.6373381 0.0002347326
0.6470385 0.0002334319
0.6419266 0.0002347008
0.6747222 0.0002344945
0.6930973 0.0002332159
0.7073694 0.0002353072
0.6977652 0.0002390763
0.6987744 0.0002365314
0.6541511 0.000235504
0.6478486 0.0002429959
0.6168664 0.0002502202
0.6381243 0.0002555226
0.6415093 0.0002465029
0.6693779 0.0002566664
0.6563904 0.0002585574
0.6667582 0.0002700431
0.6555288 0.00026825
0.6509656 0.0002689833
0.6080514 0.0002505397
0.6068274 0.0002527291
0.6047817 0.0002504484
0.6354588 0.0002496717
0.6258726 0.0002377379
0.6142127 0.0002344496
0.5796246 0.0002289411
0.6138143 0.0002241686
0.6384097 0.0002158161
0.6202144 0.0002102065
0.6375 0.0002102662
0.6404113 0.0001975977
0.6657019 0.0002030037
0.6866617 0.0002080438
0.6672551 0.0002089678
0.6578495 0.0002101999
0.6664712 0.0002103173
0.6394747 0.0002118269
0.6249179 0.0001970329
0.598787 0.0002019783
0.5742534 0.000196327
0.5931784 0.0001996542
0.6403687 0.0002071897
0.6459672 0.0002035373
0.6071622 0.0002061731
0.5657094 0.00020167
0.5391286 0.0001999223
